location_name,data_date,submitted_date,Province,District,malaria_rdt_0-4,malaria_rdt_5-14,malaria_rdt_15,malaria_tot,newid
Facility 1,2019-06-13,2019-06-14,Sofala,Nhamatanda,11,12,23,46,1
Facility 2,2019-06-13,2019-06-14,Sofala,Beira,11,10,5,26,2
Facility 3,2019-06-13,2019-06-14,Sofala,Dondo,8,5,5,18,3
Facility 4,2019-06-13,2019-06-14,Sofala,Beira,16,16,17,49,4
Facility 5,2019-06-13,2019-06-14,Sofala,Beira,9,2,6,17,5
Facility 6,2019-06-13,2019-06-14,Sofala,Dondo,3,1,4,8,6
Facility 6,2019-06-12,2019-06-14,Sofala,Dondo,4,0,3,7,6
Facility 5,2019-06-12,2019-06-14,Sofala,Beira,15,14,13,42,5
Facility 5,2019-06-11,2019-06-14,Sofala,Beira,11,11,13,35,5
Facility 5,2019-06-10,2019-06-14,Sofala,Beira,19,15,15,49,5
Facility 7,2019-06-13,2019-06-14,Sofala,Nhamatanda,12,7,13,32,7
Facility 8,2019-06-13,2019-06-14,Sofala,Beira,7,1,20,28,8
Facility 9,2019-06-13,2019-06-14,Sofala,Nhamatanda,27,8,18,53,9
Facility 10,2019-06-13,2019-06-14,Sofala,Beira,0,10,24,34,10
Facility 11,2019-06-13,2019-06-14,Sofala,Nhamatanda,17,15,28,60,11
Facility 12,2019-06-13,2019-06-14,Sofala,Dondo,36,36,62,134,12
Facility 13,2019-06-13,2019-06-14,Sofala,Beira,0,0,0,0,13
Facility 14,2019-06-13,2019-06-14,Sofala,Dondo,5,1,10,16,14
Facility 15,2019-06-13,2019-06-14,Sofala,Buzi,6,3,2,11,15
Facility 16,2019-06-13,2019-06-14,Sofala,Buzi,9,9,16,34,16
Facility 17,2019-06-13,2019-06-14,Sofala,Buzi,4,4,1,9,17
Facility 18,2019-06-13,2019-06-14,Sofala,Beira,7,0,6,13,18
Facility 19,2019-06-13,2019-06-14,Sofala,Beira,12,2,18,32,19
Facility 19,2019-06-12,2019-06-14,Sofala,Beira,4,7,41,52,19
Facility 20,2019-06-13,2019-06-14,Sofala,Buzi,14,9,14,37,20
Facility 21,2019-06-13,2019-06-14,Sofala,Beira,28,18,5,51,21
Facility 19,2019-06-11,2019-06-14,Sofala,Beira,5,3,24,32,19
Facility 22,2019-06-13,2019-06-14,Sofala,Beira,11,4,13,28,22
Facility 23,2019-06-13,2019-06-14,Sofala,Dondo,8,7,16,31,23
Facility 23,2019-06-14,2019-06-14,Sofala,Dondo,8,7,16,31,23
Facility 24,2019-06-13,2019-06-14,Sofala,Beira,21,0,41,62,24
Facility 25,2019-06-13,2019-06-14,Sofala,Beira,7,3,13,23,25
Facility 26,2019-06-13,2019-06-14,Sofala,Beira,3,2,5,10,26
Facility 27,2019-06-13,2019-06-14,Sofala,Nhamatanda,7,4,11,22,27
Facility 28,2019-06-13,2019-06-14,Sofala,Nhamatanda,9,7,33,49,28
Facility 29,2019-06-13,2019-06-13,Sofala,Dondo,19,4,23,46,29
Facility 30,2019-06-08,2019-06-10,Sofala,Beira,28,14,54,96,30
Facility 30,2019-06-06,2019-06-07,Sofala,Beira,9,8,10,27,30
Facility 31,2019-06-13,2019-06-13,Sofala,Dondo,11,2,11,24,31
Facility 31,2019-06-12,2019-06-13,Sofala,Dondo,7,10,16,33,31
Facility 32,2019-06-13,2019-06-13,Sofala,Nhamatanda,26,35,30,91,32
Facility 33,2019-06-13,2019-06-13,Sofala,Buzi,0,2,8,10,33
Facility 33,2019-06-12,2019-06-13,Sofala,Buzi,4,4,2,10,33
Facility 7,2019-06-12,2019-06-13,Sofala,Nhamatanda,8,9,11,28,7
Facility 30,2019-06-09,2019-06-10,Sofala,Beira,5,9,29,43,30
Facility 30,2019-06-11,2019-06-11,Sofala,Beira,25,14,31,70,30
Facility 30,2019-06-12,2019-06-12,Sofala,Beira,21,25,38,84,30
Facility 30,2019-06-13,2019-06-13,Sofala,Beira,9,20,26,55,30
Facility 34,2019-06-13,2019-06-13,Sofala,Dondo,4,9,17,30,34
Facility 35,2019-06-12,2019-06-13,Sofala,Nhamatanda,81,56,96,233,35
Facility 35,2019-06-11,2019-06-13,Sofala,Nhamatanda,96,50,83,229,35
Facility 1,2019-06-12,2019-06-13,Sofala,Nhamatanda,11,4,5,20,1
Facility 1,2019-06-11,2019-06-13,Sofala,Nhamatanda,18,4,84,106,1
Facility 36,2019-06-13,2019-06-13,Sofala,Dondo,0,0,0,0,36
Facility 37,2019-06-12,2019-06-13,Sofala,Beira,33,26,53,112,37
Facility 37,2019-06-11,2019-06-13,Sofala,Beira,5,1,31,37,37
Facility 21,2019-06-12,2019-06-13,Sofala,Beira,18,13,1,32,21
Facility 38,2019-06-12,2019-06-13,Sofala,Beira,7,3,8,18,38
Facility 38,2019-06-11,2019-06-13,Sofala,Beira,8,5,6,19,38
Facility 15,2019-06-12,2019-06-13,Sofala,Buzi,11,7,5,23,15
Facility 10,2019-06-12,2019-06-13,Sofala,Beira,0,18,23,41,10
Facility 39,2019-06-06,2019-06-13,Sofala,Nhamatanda,4,6,12,22,39
Facility 39,2019-06-05,2019-06-13,Sofala,Nhamatanda,10,18,15,43,39
Facility 9,2019-06-12,2019-06-13,Sofala,Nhamatanda,12,9,13,34,9
Facility 26,2019-06-12,2019-06-13,Sofala,Beira,7,9,8,24,26
Facility 3,2019-06-12,2019-06-13,Sofala,Dondo,6,2,5,13,3
Facility 40,2019-06-12,2019-06-13,Sofala,Buzi,5,2,5,12,40
Facility 13,2019-06-12,2019-06-13,Sofala,Beira,0,0,0,0,13
Facility 11,2019-06-12,2019-06-13,Sofala,Nhamatanda,27,31,25,83,11
Facility 4,2019-06-12,2019-06-13,Sofala,Beira,21,9,18,48,4
Facility 41,2019-06-12,2019-06-13,Sofala,Buzi,12,6,18,36,41
Facility 2,2019-06-12,2019-06-13,Sofala,Beira,12,10,19,41,2
Facility 16,2019-06-12,2019-06-13,Sofala,Buzi,1,0,0,1,16
Facility 18,2019-06-12,2019-06-13,Sofala,Beira,4,2,5,11,18
Facility 12,2019-06-12,2019-06-13,Sofala,Dondo,12,35,62,109,12
Facility 25,2019-06-12,2019-06-13,Sofala,Beira,3,1,4,8,25
